gold_row,source,question,expected_template_ids,served_template_id,served_question,bound_filters,verdict,wp6_verdicts,note
1001,WP4a-gold/planning,How many Gram Panchayats in Khordha have uploaded the GPDP in 2024-25?,PLN-001,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1002,WP4a-gold/planning,"GPDP upload status Bhubaneswar block, 24-25?",PLN-001; PLN-003,PLN-003,What percentage of Gram Panchayats in Bhubaneswar have uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""block_name"": ""Bhubaneswar""}",hit,hit/hit/hit,
1003,WP4a-gold/planning,and Khajuripada?,PLN-001; PLN-003,PLN-003,What percentage of Gram Panchayats in Khajuripada have uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""block_name"": ""Khajuripada""}",hit,hit/hit/hit,
1004,WP4a-gold/planning,Which Gram Panchayats have not yet uploaded their GPDP in 2024-2025?,PLN-005,PLN-005,Which Gram Panchayats have not yet uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1005,WP4a-gold/planning,24-25 me kaun se GP ne abhi tak GPDP upload nahi kiya?,PLN-005,PLN-005,Which Gram Panchayats have not yet uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1006,WP4a-gold/planning,ଖୋର୍ଦ୍ଧା ଜିଲ୍ଲାରେ 2024-2025 ରେ କେତେ ଗ୍ରାମ ପଞ୍ଚାୟତ GPDP ଅପଲୋଡ କରିଛନ୍ତି?,PLN-001,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1007,WP4a-gold/planning,Khordha jillare 2024-2025 re kete GP GPDP upload karichanti?,PLN-001,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1008,WP4a-gold/planning,ଆର୍ଥିକ ବର୍ଷ ୨୦୨୪-୨୫ରେ ଖୋର୍ଦ୍ଧାରେ କେତେ GP GPDP ଅପଲୋଡ କରିଛନ୍ତି?,PLN-001,PLN-004,What percentage of Gram Panchayats in Khordha have uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",wrong_template,hit/hit/wrong_template,
1009,WP4a-gold/planning,How many GPs in Kordha uploaded GPDP in FY 24-25?,PLN-001,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1010,WP4a-gold/planning,Khurda district ka GPDP approval rate kya hai 2024-25 me?,PLN-016; PLN-002; PLN-013,PLN-016,What is the GPDP approval rate for each District in 2024-2025 (Khordha district)?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1011,WP4a-gold/planning,What percentage of Gram Panchayats in Bhubaneshwar block have uploaded their GPDP in 2024-2025?,PLN-003,PLN-003,What percentage of Gram Panchayats in Bhubaneswar have uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""block_name"": ""Bhubaneswar""}",hit,hit/hit/hit,
1012,WP4a-gold/planning,Which blocks achieved 100% GPDP submission in 2024-2025?,PLN-006,PLN-006,Which Blocks have achieved 100% GPDP submission in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1013,WP4a-gold/planning,Which districts had the lowest GPDP submission rate last year?,PLN-007,PLN-007,Which Districts have the lowest GPDP submission rate in 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""top_n"": ""1""}",hit,hit/hit/hit,
1014,WP4a-gold/planning,How many GPs in Bhubaneswar uploaded the GPDP after 30 June 2024 in 2024-25?,PLN-008,PLN-008,How many GPs in Bhubaneswar uploaded the GPDP after the deadline 2024-06-30 in 2024-2025?,"{""date_range"": ""2024-2025"", ""deadline"": ""2024-06-30"", ""block_name"": ""Bhubaneswar""}",hit,hit/hit/hit,
1015,WP4a-gold/planning,"Sir, kindly let me know the GPDP status of Andhrua Gram Panchayat for the financial year 2024-2025.",PLN-012; PLU-001,PLN-012,What is the status of the GPDP for Andhrua in 2024-2025?,"{""date_range"": ""2024-2025"", ""gp_name"": ""Andhrua""}",hit,hit/hit/hit,
1016,WP4a-gold/planning,what about last year?,PLN-012; PLU-001,PLN-012,What is the status of the GPDP for Andhrua in 2024-2025?,"{""date_range"": ""2024-2025"", ""gp_name"": ""Andhrua""}",wrong_entities,wrong_entities/wrong_entities/wrong_entities,
1017,WP4a-gold/planning,Khordha me kitne GP ka GPDP approval abhi tak pending hai 2024-25 me?,PLN-014,PLN-014,How many Gram Panchayats in all blocks/Khordha are still awaiting GPDP approval in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1018,WP4a-gold/planning,Bhubaneswar block me GPDP approval rate kitna hai 2024-25 ka?,PLN-015; PLN-013,PLN-015,What is the GPDP approval rate for each Block in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,clarify_gold_offered/hit/hit,
