view,view_title,rank,label  (real | already-known | spurious),operator_notes,summary,figures,pattern_type,measure,breakdown,subspace,varied_along,hdp_size,commonness,exceptions,n_exceptions,score,conciseness,impact,fy_2023_24_caveat
view1,Activity Lifecycle - Every Planned Work and Its Money,1,real,Operator: very interesting. Reframe (D2c): Rs 51.96 cr underspend is SYSTEMIC - spread evenly across GPs in 27/28 categories; no GP/block drives it. Fix EVENNESS template so 'Exception: Banking' cannot read as 'Banking spends fine'. Present with rank 2 as one finding.,"Across nearly all asset_category_label values (27/28), overspend_vs_plan is evenly distributed across gp_name values. Exception: Banking Facilities (no clear pattern)",total Rs -51.96 crore; top: Barimunda = Rs -69.45 lakh; top: Bhatigaon = Rs -90.49 lakh; top: Haldikudar = Rs -90.62 lakh,EVENNESS,overspend_vs_plan,gp_name,(whole view),subspace on asset_category_label,28,"('EVEN',) in 27/28 (96%): Water Sources & Structures, Electrification, Roads, Bridges & Culverts, Buildings, Solid Waste Management, Movable Sanitation Asset, Sanitation & Sewerage Facilities, Community Sanitation, Recreational Facilities, Drinking water supply structure, Drinking water supply equipment, Office Equipment, Education Facilities, Medical & Health Facilities, Pond & Reservoir, Liquid Waste Management, Uncategorised, Irrigation Sources, Grey water management, Household Sanitation, Faecal Sludge Management, Land, Plastic Waste Management, Electrical Installation and Equipment, Medical Supplies, Computers and peripherals, Other Public/Social",Banking Facilities [NO_PATTERN],1,0.876,0.876,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,2,real,Near-twin of rank 1 (same story via blocks / sanction basis); collapse in presentation.,"Across nearly all asset_category_label values (27/28), overspend_vs_sanction is evenly distributed across block_name values. Exception: Banking Facilities (no clear pattern)",total Rs -5.02 crore; top: Khallikote = Rs 0; top: Tangi Choudwar = Rs -6.94 lakh; top: Attabira = Rs -10.48 lakh,EVENNESS,overspend_vs_sanction,block_name,(whole view),subspace on asset_category_label,28,"('EVEN',) in 27/28 (96%): Water Sources & Structures, Electrification, Roads, Bridges & Culverts, Buildings, Solid Waste Management, Movable Sanitation Asset, Sanitation & Sewerage Facilities, Community Sanitation, Recreational Facilities, Drinking water supply structure, Drinking water supply equipment, Office Equipment, Education Facilities, Medical & Health Facilities, Pond & Reservoir, Liquid Waste Management, Uncategorised, Irrigation Sources, Grey water management, Household Sanitation, Faecal Sludge Management, Land, Plastic Waste Management, Electrical Installation and Equipment, Medical Supplies, Computers and peripherals, Other Public/Social",Banking Facilities [NO_PATTERN],1,0.876,0.876,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,3,spurious,Definitional: training data attaches only to New/Fresh activities. Add measure-dimension exclusion (D2c).,"Across nearly all gp_name values (19/20), New/Fresh has the highest trainees_total among work_type_label values. Exception: Barimunda (no clear pattern)","total 1,27,588 people; New/Fresh = 1,27,588 people (100.0%); top: New/Fresh = 1,27,588 people (100.0%); top: Maintenance = 0 people (0.0%); top: Unknown = 0 people (0.0%)",OUTSTANDING_1,trainees_total,work_type_label,(whole view),subspace on gp_name,20,"('New/Fresh',) in 19/20 (95%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Chikilli, Dutimendi, Andhrua, Itipur, Boipariguda, Laxmipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Barimunda [NO_PATTERN],1,0.8402,0.8402,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,4,spurious,Twin of rank 3 (OUTSTANDING_1 + ATTRIBUTION same highlight).,"Across nearly all gp_name values (19/20), New/Fresh accounts for the majority of trainees_total among work_type_label values. Exception: Barimunda (no clear pattern)","total 1,27,588 people; New/Fresh = 1,27,588 people (100.0%); top: New/Fresh = 1,27,588 people (100.0%); top: Maintenance = 0 people (0.0%); top: Unknown = 0 people (0.0%)",ATTRIBUTION,trainees_total,work_type_label,(whole view),subspace on gp_name,20,"('New/Fresh',) in 19/20 (95%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Chikilli, Dutimendi, Andhrua, Itipur, Boipariguda, Laxmipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Barimunda [NO_PATTERN],1,0.8402,0.8402,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,5,spurious,Circular: fund_tied_total x fund_component_name is definitional. Exclusion list (D2c).,"Across nearly all gp_name values (19/20), Tied Grant has the highest fund_tied_total among fund_component_name values. Exception: Chikilli (no clear pattern)",total Rs 10.91 crore; Tied Grant = Rs 10.91 crore (100.0%); top: Tied Grant = Rs 10.91 crore (100.0%); top: Basic Grant (untied) = Rs 0 (0.0%); top: Code 3907 = Rs 0 (0.0%),OUTSTANDING_1,fund_tied_total,fund_component_name,(whole view),subspace on gp_name,20,"('Tied Grant',) in 19/20 (95%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Dutimendi, Andhrua, Barimunda, Itipur, Boipariguda, Laxmipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Chikilli [NO_PATTERN],1,0.8402,0.8402,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,6,spurious,Twin of rank 5.,"Across nearly all gp_name values (19/20), Tied Grant accounts for the majority of fund_tied_total among fund_component_name values. Exception: Chikilli (no clear pattern)",total Rs 10.91 crore; Tied Grant = Rs 10.91 crore (100.0%); top: Tied Grant = Rs 10.91 crore (100.0%); top: Basic Grant (untied) = Rs 0 (0.0%); top: Code 3907 = Rs 0 (0.0%),ATTRIBUTION,fund_tied_total,fund_component_name,(whole view),subspace on gp_name,20,"('Tied Grant',) in 19/20 (95%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Dutimendi, Andhrua, Barimunda, Itipur, Boipariguda, Laxmipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Chikilli [NO_PATTERN],1,0.8402,0.8402,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,7,real,"Operator: yes, rephrase. Lead with Kalimela water exception + Rs 5.7 cr on Unmapped theme in Boipariguda (data-quality flag, team ask).","Across nearly all gp_name values (18/20), Theme 6 - Self-sufficient Infrastructure in Village has the highest fund_untied_total among theme values. Exception: Boipariguda (Unmapped theme has the highest fund_untied_total among theme values); Kalimela (Theme 4 - Water Sufficient Village has the highest fund_untied_total among theme values)",total Rs 59.64 crore; Theme 6 - Self-sufficient Infrastructure in Village = Rs 30.07 crore (50.4%); top: Theme 6 - Self-sufficient Infrastructure in Village = Rs 30.07 crore (50.4%); top: Theme 4 - Water Sufficient Village = Rs 11.63 crore (19.5%); top: Unmapped theme = Rs 5.70 crore (9.6%),OUTSTANDING_1,fund_untied_total,theme,(whole view),subspace on gp_name,20,"('Theme 6 - Self-sufficient Infrastructure in Village',) in 18/20 (90%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Chikilli, Dutimendi, Andhrua, Barimunda, Itipur, Laxmipur, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur","Boipariguda [HIGHLIGHT_CHANGE] ('Unmapped theme',) | Kalimela [HIGHLIGHT_CHANGE] ('Theme 4 - Water Sufficient Village',)",2,0.7384,0.7384,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,8,real,Real concentration; hold from publication until output_type decode arrives (team ask open).,"Across nearly all gp_name values (18/20), Code 101 and Code 105 lead in fund_tied_total among output_type_label values. Exception: Dadhapatna (different pattern); Dutimendi (different pattern)",total Rs 17.66 crore; Code 101 = Rs 11.48 crore (65.0%); Code 105 = Rs 5.49 crore (31.1%); top: Code 101 = Rs 11.48 crore (65.0%); top: Code 105 = Rs 5.49 crore (31.1%); top: Code 106 = Rs 32.88 lakh (1.9%),TOP_TWO,fund_tied_total,output_type_label,(whole view),subspace on gp_name,20,"('Code 101', 'Code 105') in 18/20 (90%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Govindapur, Biswamathpur, Sharagada, Chikilli, Andhrua, Barimunda, Itipur, Boipariguda, Laxmipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Dadhapatna [TYPE_CHANGE] | Dutimendi [TYPE_CHANGE],2,0.7384,0.7384,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,9,real,Operator: interesting. Reframe: four in five activities never move past approval status (status-based; approval-record coverage caveat stands).,"Across nearly all gp_name values (18/20), Activity Approved has the highest n_activities among status_label values. Exception: Boipariguda (no clear pattern); Laxmipur (no clear pattern)","total 12,704 activities; Activity Approved = 10,108 activities (79.6%); top: Activity Approved = 10,108 activities (79.6%); top: WORK ONGOING = 2,110 activities (16.6%); top: WORK ABANDONED = 420 activities (3.3%)",OUTSTANDING_1,n_activities,status_label,(whole view),subspace on gp_name,20,"('Activity Approved',) in 18/20 (90%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Chikilli, Dutimendi, Andhrua, Barimunda, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Boipariguda [NO_PATTERN] | Laxmipur [NO_PATTERN],2,0.7384,0.7384,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,10,real,Twin of rank 9.,"Across nearly all gp_name values (18/20), Activity Approved accounts for the majority of n_activities among status_label values. Exception: Boipariguda (no clear pattern); Laxmipur (no clear pattern)","total 12,704 activities; Activity Approved = 10,108 activities (79.6%); top: Activity Approved = 10,108 activities (79.6%); top: WORK ONGOING = 2,110 activities (16.6%); top: WORK ABANDONED = 420 activities (3.3%)",ATTRIBUTION,n_activities,status_label,(whole view),subspace on gp_name,20,"('Activity Approved',) in 18/20 (90%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Chikilli, Dutimendi, Andhrua, Barimunda, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Boipariguda [NO_PATTERN] | Laxmipur [NO_PATTERN],2,0.7384,0.7384,1.0,
