view,view_title,rank,label  (real | already-known | spurious),operator_notes,summary,figures,pattern_type,measure,breakdown,subspace,varied_along,hdp_size,commonness,exceptions,n_exceptions,score,conciseness,impact,fy_2023_24_caveat,merged_twin,framing_applied,new_in_this_run
view1,Activity Lifecycle - Every Planned Work and Its Money,1,real,Operator: real. Session-1 headline sharpened (within Costed); A3 reframe applied.,"Across nearly all asset_category_label values (27/28), overspend_vs_plan is spread evenly across block_name values -- it belongs to all of them and no single block_name accounts for it. Uneven only in: Banking Facilities (not evenly spread) -- this is about how the total is spread, not about how much any one of them spends",total Rs -51.96 crore; top: Lahunipara = Rs -90.62 lakh; top: Baranga = Rs -1.10 crore; top: Kalyansingpur = Rs -1.24 crore,EVENNESS,overspend_vs_plan,block_name,is_costless=Costed,subspace on asset_category_label,28,"('EVEN',) in 27/28 (96%): Uncategorised, Buildings, Recreational Facilities, Drinking water supply structure, Water Sources & Structures, Roads, Bridges & Culverts, Community Sanitation, Plastic Waste Management, Solid Waste Management, Sanitation & Sewerage Facilities, Liquid Waste Management, Household Sanitation, Movable Sanitation Asset, Faecal Sludge Management, Education Facilities, Office Equipment, Medical & Health Facilities, Land, Irrigation Sources, Computers and peripherals, Electrification, Drinking water supply equipment, Pond & Reservoir, Other Public/Social, Electrical Installation and Equipment, Medical Supplies, Grey water management",Banking Facilities [NO_PATTERN],1,0.876,0.876,1.0,,,evenness reframed (A3); size shares attached (2b),yes
view1,Activity Lifecycle - Every Planned Work and Its Money,2,real,Operator: real. District/sanction-basis sibling of rank 1.,"Across nearly all asset_category_label values (27/28), overspend_vs_sanction is spread evenly across district_name values -- it belongs to all of them and no single district_name accounts for it. Uneven only in: Banking Facilities (not evenly spread) -- this is about how the total is spread, not about how much any one of them spends",total Rs -5.02 crore; top: Rayagada = Rs -17.43 lakh; top: Cuttack = Rs -18.73 lakh; top: Malkangiri = Rs -32.05 lakh,EVENNESS,overspend_vs_sanction,district_name,(whole view),subspace on asset_category_label,28,"('EVEN',) in 27/28 (96%): Uncategorised, Buildings, Recreational Facilities, Drinking water supply structure, Water Sources & Structures, Roads, Bridges & Culverts, Community Sanitation, Plastic Waste Management, Solid Waste Management, Sanitation & Sewerage Facilities, Liquid Waste Management, Household Sanitation, Movable Sanitation Asset, Faecal Sludge Management, Education Facilities, Office Equipment, Medical & Health Facilities, Land, Irrigation Sources, Computers and peripherals, Electrification, Drinking water supply equipment, Pond & Reservoir, Other Public/Social, Electrical Installation and Equipment, Medical Supplies, Grey water management",Banking Facilities [NO_PATTERN],1,0.876,0.876,1.0,,,evenness reframed (A3); size shares attached (2b),
view1,Activity Lifecycle - Every Planned Work and Its Money,3,real,Operator: real. Publication-held on output_type decode (team ask).,"Across nearly all gp_name values (19/20), Code 101 and Code 105 lead in fund_untied_total among output_type_label values. Exception: Haldikudar (different pattern)",total Rs 56.20 crore; Code 101 = Rs 34.88 crore (62.1%); Code 105 = Rs 16.90 crore (30.1%); top: Code 101 = Rs 34.88 crore (62.1%); top: Code 105 = Rs 16.90 crore (30.1%); top: Code 104 = Rs 2.35 crore (4.2%),TOP_TWO,fund_untied_total,output_type_label,activity_type_label=Public Works,subspace on gp_name,20,"('Code 101', 'Code 105') in 19/20 (95%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Boipariguda, Chikilli, Dadhapatna, Dutimendi, Govindapur, Hirlipali, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Laxmipur, Mendarajpur, Sharagada",Haldikudar [TYPE_CHANGE],1,0.8025,0.8402,0.9551,,,size shares attached (2b),yes
view1,Activity Lifecycle - Every Planned Work and Its Money,4,real,Operator: real. NEW SUBJECT - 55% of Public Works activities have no asset classification; data-quality finding with money behind it.,"Across nearly all gp_name values (19/20), Uncategorised has the highest n_activities among asset_category_label values. Exception: Govindapur (different pattern)","total 9,418 activities; Uncategorised = 5,181 activities (55.0%); top: Uncategorised = 5,181 activities (55.0%); top: Buildings = 688 activities (7.3%); top: Household Sanitation = 524 activities (5.6%)",OUTSTANDING_1,n_activities,asset_category_label,activity_type_label=Public Works,subspace on gp_name,20,"('Uncategorised',) in 19/20 (95%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Boipariguda, Chikilli, Dadhapatna, Dutimendi, Haldikudar, Hirlipali, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Laxmipur, Mendarajpur, Sharagada",Govindapur [TYPE_CHANGE],1,0.8025,0.8402,0.9551,,,,yes
view1,Activity Lifecycle - Every Planned Work and Its Money,5,real,"Operator: real, but present as RATIO not absolute -> A8 utilization companion (spent / planned per group, ratio-of-sums computed downstream; engine still mines the SUM difference). WP-D3 scope.","Across nearly all gp_name values (18/20), Activity Approved has the lowest overspend_vs_plan among status_label values. Exception: Boipariguda (no clear pattern); Laxmipur (no clear pattern)","total Rs -51.96 crore; Activity Approved = Rs -41.61 crore; top: WORK COMPLETED = Rs 18,797; top: Buildings = Rs -10.88 lakh; top: UNDER APPROVAL = Rs -37.60 lakh",OUTSTANDING_LAST,overspend_vs_plan,status_label,is_costless=Costed,subspace on gp_name,20,"('Activity Approved',) in 18/20 (90%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Chikilli, Dadhapatna, Dutimendi, Govindapur, Haldikudar, Hirlipali, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Mendarajpur, Sharagada",Boipariguda [NO_PATTERN] | Laxmipur [NO_PATTERN],2,0.7384,0.7384,1.0,,,size shares attached (2b),yes
view1,Activity Lifecycle - Every Planned Work and Its Money,6,real,Operator: real. Money moves only in the 16.6% of activities that move (93.9% of gen-component spend on WORK ONGOING).,"Across nearly all gp_name values (18/20), WORK ONGOING accounts for the majority of gen_amount among status_label values. Exception: Boipariguda (no clear pattern); Laxmipur (no clear pattern)",total Rs 30.43 crore; WORK ONGOING = Rs 28.59 crore (93.9%); top: WORK ONGOING = Rs 28.59 crore (93.9%); top: WORK ABANDONED = Rs 1.15 crore (3.8%); top: Activity Approved = Rs 32.74 lakh (1.1%),ATTRIBUTION,gen_amount,status_label,is_costless=Costed,subspace on gp_name,20,"('WORK ONGOING',) in 18/20 (90%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Chikilli, Dadhapatna, Dutimendi, Govindapur, Haldikudar, Hirlipali, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Mendarajpur, Sharagada",Boipariguda [NO_PATTERN] | Laxmipur [NO_PATTERN],2,0.7384,0.7384,1.0,,OUTSTANDING_1,size shares attached (2b),yes
view1,Activity Lifecycle - Every Planned Work and Its Money,7,real,Operator: real (4-9 block).,"Across nearly all gp_name values (18/20), Activity Approved has the highest beneficiaries_expected among status_label values. Exception: Boipariguda (no clear pattern); Laxmipur (no clear pattern)","total 2,06,929 people; Activity Approved = 2,03,534 people (98.4%); top: Activity Approved = 2,03,534 people (98.4%); top: WORK ONGOING = 2,759 people (1.3%); top: WORK ABANDONED = 606 people (0.3%)",OUTSTANDING_1,beneficiaries_expected,status_label,(whole view),subspace on gp_name,20,"('Activity Approved',) in 18/20 (90%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Chikilli, Dadhapatna, Dutimendi, Govindapur, Haldikudar, Hirlipali, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Mendarajpur, Sharagada",Boipariguda [NO_PATTERN] | Laxmipur [NO_PATTERN],2,0.7384,0.7384,1.0,,,size shares attached (2b),
view1,Activity Lifecycle - Every Planned Work and Its Money,8,real,Operator: real. Session-1 #7 sharpened; same two exceptions.,"Across nearly all gp_name values (18/20), Theme 6 - Self-sufficient Infrastructure in Village has the highest fund_untied_total among theme values. Exception: Boipariguda (Unmapped theme has the highest fund_untied_total among theme values); Kalimela (Theme 4 - Water Sufficient Village has the highest fund_untied_total among theme values)",total Rs 59.64 crore; Theme 6 - Self-sufficient Infrastructure in Village = Rs 30.07 crore (50.4%); top: Theme 6 - Self-sufficient Infrastructure in Village = Rs 30.07 crore (50.4%); top: Theme 4 - Water Sufficient Village = Rs 11.63 crore (19.5%); top: Unmapped theme = Rs 5.70 crore (9.6%),OUTSTANDING_1,fund_untied_total,theme,is_costless=Costed,subspace on gp_name,20,"('Theme 6 - Self-sufficient Infrastructure in Village',) in 18/20 (90%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Chikilli, Dadhapatna, Dutimendi, Govindapur, Haldikudar, Hirlipali, Itipur, Kalyansinghpur, Karuabahal, Laxmipur, Mendarajpur, Sharagada","Boipariguda [HIGHLIGHT_CHANGE] ('Unmapped theme',) | Kalimela [HIGHLIGHT_CHANGE] ('Theme 4 - Water Sufficient Village',)",2,0.7384,0.7384,1.0,,,size shares attached (2b),yes
view1,Activity Lifecycle - Every Planned Work and Its Money,9,real,Operator: real. Decode-held (Code 101).,"Across nearly all gp_name values (19/20), Code 101 has the lowest overspend_vs_sanction among output_type_label values. Exception: Chikilli (no clear pattern)","total Rs -2.54 crore; Code 101 = Rs -2.49 crore; top: Code 109 = Rs 0; top: Code 102 = Rs -21,568; top: Code 110 = Rs -1.78 lakh",OUTSTANDING_LAST,overspend_vs_sanction,output_type_label,work_type_label=New/Fresh,subspace on gp_name,20,"('Code 101',) in 19/20 (95%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Boipariguda, Dadhapatna, Dutimendi, Govindapur, Haldikudar, Hirlipali, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Laxmipur, Mendarajpur, Sharagada",Chikilli [NO_PATTERN],1,0.7306,0.8402,0.8696,,,size shares attached (2b),yes
view1,Activity Lifecycle - Every Planned Work and Its Money,10,real,Operator: real FOR NOW - revisit when output_type decode arrives; 100% share may prove definitional (photo evidence attaching to physical outputs by construction).,"Across nearly all gp_name values (19/20), Code 101 accounts for the majority of evidence_uploads among output_type_label values. Exception: Chikilli (no clear pattern)","total 6,893 photo uploads; Code 101 = 6,893 photo uploads (100.0%); top: Code 101 = 6,893 photo uploads (100.0%); top: Code 102 = 0 photo uploads (0.0%); top: Code 103 = 0 photo uploads (0.0%)",ATTRIBUTION,evidence_uploads,output_type_label,work_type_label=New/Fresh,subspace on gp_name,20,"('Code 101',) in 19/20 (95%): Andhrua, Bandhpali, Barimunda, Bhatigaon, Bheden, Biswamathpur, Boipariguda, Dadhapatna, Dutimendi, Govindapur, Haldikudar, Hirlipali, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Laxmipur, Mendarajpur, Sharagada",Chikilli [NO_PATTERN],1,0.7306,0.8402,0.8696,,OUTSTANDING_1,size shares attached (2b),yes
