n,question,run_1,run_2,run_3,consistency,modal_query_id,modal_nl_question
1001,How many Gram Panchayats in Khordha have uploaded the GPDP in 2024-25?,PLN-001,PLN-001,PLN-001,3/3,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?
1002,"GPDP upload status Bhubaneswar block, 24-25?",PLN-003,PLN-003,PLN-003,3/3,PLN-003,What percentage of Gram Panchayats in Bhubaneswar have uploaded their GPDP in 2024-2025 (Khordha district)?
1003,and Khajuripada?,PLN-003,PLN-003,PLN-003,3/3,PLN-003,What percentage of Gram Panchayats in Bhubaneswar have uploaded their GPDP in 2024-2025 (Khordha district)?
1004,Which Gram Panchayats have not yet uploaded their GPDP in 2024-2025?,PLN-005,PLN-005,PLN-005,3/3,PLN-005,Which Gram Panchayats have not yet uploaded their GPDP in 2024-2025?
1005,24-25 me kaun se GP ne abhi tak GPDP upload nahi kiya?,PLN-005,PLN-005,PLN-005,3/3,PLN-005,Which Gram Panchayats have not yet uploaded their GPDP in 2024-2025?
1006,ଖୋର୍ଦ୍ଧା ଜିଲ୍ଲାରେ 2024-2025 ରେ କେତେ ଗ୍ରାମ ପଞ୍ଚାୟତ GPDP ଅପଲୋଡ କରିଛନ୍ତି?,PLN-001,PLN-001,PLN-001,3/3,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?
1007,Khordha jillare 2024-2025 re kete GP GPDP upload karichanti?,PLN-001,PLN-001,PLN-001,3/3,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?
1008,ଆର୍ଥିକ ବର୍ଷ ୨୦୨୪-୨୫ରେ ଖୋର୍ଦ୍ଧାରେ କେତେ GP GPDP ଅପଲୋଡ କରିଛନ୍ତି?,PLN-001,PLN-001,PLN-001,3/3,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?
1009,How many GPs in Kordha uploaded GPDP in FY 24-25?,PLN-001,PLN-001,PLN-001,3/3,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?
1010,Khurda district ka GPDP approval rate kya hai 2024-25 me?,PLN-016,PLN-016,PLN-016,3/3,PLN-016,What is the GPDP approval rate for each District in 2024-2025 (Khordha district)?
